order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
34,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$35/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$35/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-34,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n34,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
35,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$36/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$36/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-35,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n35,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
36,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$37/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$37/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-36,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n36,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
37,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$38/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$38/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-37,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n37,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
38,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$39/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$39/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-38,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n38,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
39,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$40/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$40/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-39,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n39,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
40,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$41/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$41/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-40,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n40,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
41,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$42/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$42/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-41,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n41,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
42,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$43/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$43/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-42,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n42,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
43,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$44/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$44/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-43,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n43,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
