order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
1173,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1174/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1174/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1173,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1173,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1174,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1175/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1175/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1174,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1174,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1175,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1176/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1176/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1175,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1175,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1176,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1177/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1177/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1176,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1176,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1177,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1178/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1178/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1177,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1177,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1178,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1179/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1179/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1178,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1178,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1179,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1180/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1180/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1179,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1179,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1180,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1181/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1181/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1180,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1180,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1181,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1182/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1182/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1181,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1181,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1182,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1183/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1183/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1182,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1182,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
